Id,spx-1950-2018,len,datetime,open,high,low,close,volume,openinterest,RegimeSwitchingStrategy,len,datetime,MACD,len,macd,signal,CrossOver,len,crossover,CrossDown,len,cross,ATR,len,atr,SMA,len,sma,SimpleMovingAverage,len,sma,StdDev,len,stddev,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
1,spx-1950-2018,1,2008-01-02 23:59:59.999989,1467.97,1471.77,1442.07,1447.16,3452650000.0,0.0,RegimeSwitchingStrategy,1,733043.9999999999,MACD,1,,,CrossOver,1,,CrossDown,1,,ATR,1,,SMA,1,,SimpleMovingAverage,1,,StdDev,1,,Broker,1,100000.0,100000.0,BuySell,1,,,Trades,1,,
2,spx-1950-2018,2,2008-01-03 23:59:59.999989,1447.55,1456.8,1443.73,1447.16,3429500000.0,0.0,RegimeSwitchingStrategy,2,733044.9999999999,MACD,2,,,CrossOver,2,,CrossDown,2,,ATR,2,,SMA,2,,SimpleMovingAverage,2,,StdDev,2,,Broker,2,100000.0,100000.0,BuySell,2,,,Trades,2,,
3,spx-1950-2018,3,2008-01-04 23:59:59.999989,1444.01,1444.01,1411.19,1411.63,4166000000.0,0.0,RegimeSwitchingStrategy,3,733045.9999999999,MACD,3,,,CrossOver,3,,CrossDown,3,,ATR,3,,SMA,3,,SimpleMovingAverage,3,,StdDev,3,,Broker,3,100000.0,100000.0,BuySell,3,,,Trades,3,,
4,spx-1950-2018,4,2008-01-07 23:59:59.999989,1414.07,1423.87,1403.45,1416.18,4221260000.0,0.0,RegimeSwitchingStrategy,4,733048.9999999999,MACD,4,,,CrossOver,4,,CrossDown,4,,ATR,4,,SMA,4,,SimpleMovingAverage,4,,StdDev,4,,Broker,4,100000.0,100000.0,BuySell,4,,,Trades,4,,
5,spx-1950-2018,5,2008-01-08 23:59:59.999989,1415.71,1430.28,1388.3,1390.19,4705390000.0,0.0,RegimeSwitchingStrategy,5,733049.9999999999,MACD,5,,,CrossOver,5,,CrossDown,5,,ATR,5,,SMA,5,,SimpleMovingAverage,5,,StdDev,5,,Broker,5,100000.0,100000.0,BuySell,5,,,Trades,5,,
6,spx-1950-2018,6,2008-01-09 23:59:59.999989,1390.25,1409.19,1378.7,1409.13,5351030000.0,0.0,RegimeSwitchingStrategy,6,733050.9999999999,MACD,6,,,CrossOver,6,,CrossDown,6,,ATR,6,,SMA,6,,SimpleMovingAverage,6,,StdDev,6,,Broker,6,100000.0,100000.0,BuySell,6,,,Trades,6,,
7,spx-1950-2018,7,2008-01-10 23:59:59.999989,1406.78,1429.09,1395.31,1420.33,5170490000.0,0.0,RegimeSwitchingStrategy,7,733051.9999999999,MACD,7,,,CrossOver,7,,CrossDown,7,,ATR,7,,SMA,7,,SimpleMovingAverage,7,,StdDev,7,,Broker,7,100000.0,100000.0,BuySell,7,,,Trades,7,,
8,spx-1950-2018,8,2008-01-11 23:59:59.999989,1419.91,1419.91,1394.83,1401.02,4495840000.0,0.0,RegimeSwitchingStrategy,8,733052.9999999999,MACD,8,,,CrossOver,8,,CrossDown,8,,ATR,8,,SMA,8,,SimpleMovingAverage,8,,StdDev,8,,Broker,8,100000.0,100000.0,BuySell,8,,,Trades,8,,
9,spx-1950-2018,9,2008-01-14 23:59:59.999989,1402.91,1417.89,1402.91,1416.25,3682090000.0,0.0,RegimeSwitchingStrategy,9,733055.9999999999,MACD,9,,,CrossOver,9,,CrossDown,9,,ATR,9,,SMA,9,,SimpleMovingAverage,9,,StdDev,9,,Broker,9,100000.0,100000.0,BuySell,9,,,Trades,9,,
10,spx-1950-2018,10,2008-01-15 23:59:59.999989,1411.88,1411.88,1380.6,1380.95,4601640000.0,0.0,RegimeSwitchingStrategy,10,733056.9999999999,MACD,10,,,CrossOver,10,,CrossDown,10,,ATR,10,,SMA,10,,SimpleMovingAverage,10,,StdDev,10,,Broker,10,100000.0,100000.0,BuySell,10,,,Trades,10,,
