Id,spx-1950-2018,len,datetime,open,high,low,close,volume,openinterest,MeanReversionStrategy,len,datetime,SimpleMovingAverage,len,sma,StdDev,len,stddev,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
1,spx-1950-2018,1,2006-01-03 23:59:59.999989,1248.29,1270.22,1245.74,1268.8,2554570000.0,0.0,MeanReversionStrategy,1,732314.9999999999,SimpleMovingAverage,1,,StdDev,1,,Broker,1,100000.0,100000.0,BuySell,1,,,Trades,1,,
2,spx-1950-2018,2,2006-01-04 23:59:59.999989,1268.8,1275.37,1267.74,1273.46,2515330000.0,0.0,MeanReversionStrategy,2,732315.9999999999,SimpleMovingAverage,2,,StdDev,2,,Broker,2,100000.0,100000.0,BuySell,2,,,Trades,2,,
3,spx-1950-2018,3,2006-01-05 23:59:59.999989,1273.46,1276.91,1270.3,1273.48,2433340000.0,0.0,MeanReversionStrategy,3,732316.9999999999,SimpleMovingAverage,3,,StdDev,3,,Broker,3,100000.0,100000.0,BuySell,3,,,Trades,3,,
4,spx-1950-2018,4,2006-01-06 23:59:59.999989,1273.48,1286.09,1273.48,1285.45,2446560000.0,0.0,MeanReversionStrategy,4,732317.9999999999,SimpleMovingAverage,4,,StdDev,4,,Broker,4,100000.0,100000.0,BuySell,4,,,Trades,4,,
5,spx-1950-2018,5,2006-01-09 23:59:59.999989,1285.45,1290.78,1284.82,1290.15,2301490000.0,0.0,MeanReversionStrategy,5,732320.9999999999,SimpleMovingAverage,5,,StdDev,5,,Broker,5,100000.0,100000.0,BuySell,5,,,Trades,5,,
6,spx-1950-2018,6,2006-01-10 23:59:59.999989,1290.15,1290.15,1283.76,1289.69,2373080000.0,0.0,MeanReversionStrategy,6,732321.9999999999,SimpleMovingAverage,6,,StdDev,6,,Broker,6,100000.0,100000.0,BuySell,6,,,Trades,6,,
7,spx-1950-2018,7,2006-01-11 23:59:59.999989,1289.72,1294.9,1288.12,1294.18,2406130000.0,0.0,MeanReversionStrategy,7,732322.9999999999,SimpleMovingAverage,7,,StdDev,7,,Broker,7,100000.0,100000.0,BuySell,7,,,Trades,7,,
8,spx-1950-2018,8,2006-01-12 23:59:59.999989,1294.18,1294.18,1285.04,1286.06,2318350000.0,0.0,MeanReversionStrategy,8,732323.9999999999,SimpleMovingAverage,8,,StdDev,8,,Broker,8,100000.0,100000.0,BuySell,8,,,Trades,8,,
9,spx-1950-2018,9,2006-01-13 23:59:59.999989,1286.06,1288.96,1282.78,1287.61,2206510000.0,0.0,MeanReversionStrategy,9,732324.9999999999,SimpleMovingAverage,9,,StdDev,9,,Broker,9,100000.0,100000.0,BuySell,9,,,Trades,9,,
10,spx-1950-2018,10,2006-01-17 23:59:59.999989,1287.61,1287.61,1278.61,1282.93,2179970000.0,0.0,MeanReversionStrategy,10,732328.9999999999,SimpleMovingAverage,10,,StdDev,10,,Broker,10,100000.0,100000.0,BuySell,10,,,Trades,10,,
