Id,spx-1950-2018,len,datetime,open,high,low,close,volume,openinterest,RegimeSwitchingStrategy,len,datetime,MACD,len,macd,signal,CrossOver,len,crossover,CrossDown,len,cross,ATR,len,atr,SMA,len,sma,SimpleMovingAverage,len,sma,StdDev,len,stddev,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
1,spx-1950-2018,1,2011-01-03 23:59:59.999989,1257.62,1276.17,1257.62,1271.87,4286670000.0,0.0,RegimeSwitchingStrategy,1,734140.9999999999,MACD,1,,,CrossOver,1,,CrossDown,1,,ATR,1,,SMA,1,,SimpleMovingAverage,1,,StdDev,1,,Broker,1,100000.0,100000.0,BuySell,1,,,Trades,1,,
2,spx-1950-2018,2,2011-01-04 23:59:59.999989,1272.95,1274.12,1262.66,1270.2,4796420000.0,0.0,RegimeSwitchingStrategy,2,734141.9999999999,MACD,2,,,CrossOver,2,,CrossDown,2,,ATR,2,,SMA,2,,SimpleMovingAverage,2,,StdDev,2,,Broker,2,100000.0,100000.0,BuySell,2,,,Trades,2,,
3,spx-1950-2018,3,2011-01-05 23:59:59.999989,1268.78,1277.63,1265.36,1276.56,4764920000.0,0.0,RegimeSwitchingStrategy,3,734142.9999999999,MACD,3,,,CrossOver,3,,CrossDown,3,,ATR,3,,SMA,3,,SimpleMovingAverage,3,,StdDev,3,,Broker,3,100000.0,100000.0,BuySell,3,,,Trades,3,,
4,spx-1950-2018,4,2011-01-06 23:59:59.999989,1276.29,1278.17,1270.43,1273.85,4844100000.0,0.0,RegimeSwitchingStrategy,4,734143.9999999999,MACD,4,,,CrossOver,4,,CrossDown,4,,ATR,4,,SMA,4,,SimpleMovingAverage,4,,StdDev,4,,Broker,4,100000.0,100000.0,BuySell,4,,,Trades,4,,
5,spx-1950-2018,5,2011-01-07 23:59:59.999989,1274.41,1276.83,1261.7,1271.5,4963110000.0,0.0,RegimeSwitchingStrategy,5,734144.9999999999,MACD,5,,,CrossOver,5,,CrossDown,5,,ATR,5,,SMA,5,,SimpleMovingAverage,5,,StdDev,5,,Broker,5,100000.0,100000.0,BuySell,5,,,Trades,5,,
6,spx-1950-2018,6,2011-01-10 23:59:59.999989,1270.84,1271.52,1262.18,1269.75,4036450000.0,0.0,RegimeSwitchingStrategy,6,734147.9999999999,MACD,6,,,CrossOver,6,,CrossDown,6,,ATR,6,,SMA,6,,SimpleMovingAverage,6,,StdDev,6,,Broker,6,100000.0,100000.0,BuySell,6,,,Trades,6,,
7,spx-1950-2018,7,2011-01-11 23:59:59.999989,1272.58,1277.25,1269.62,1274.48,4050750000.0,0.0,RegimeSwitchingStrategy,7,734148.9999999999,MACD,7,,,CrossOver,7,,CrossDown,7,,ATR,7,,SMA,7,,SimpleMovingAverage,7,,StdDev,7,,Broker,7,100000.0,100000.0,BuySell,7,,,Trades,7,,
8,spx-1950-2018,8,2011-01-12 23:59:59.999989,1275.65,1286.87,1275.65,1285.96,4226940000.0,0.0,RegimeSwitchingStrategy,8,734149.9999999999,MACD,8,,,CrossOver,8,,CrossDown,8,,ATR,8,,SMA,8,,SimpleMovingAverage,8,,StdDev,8,,Broker,8,100000.0,100000.0,BuySell,8,,,Trades,8,,
9,spx-1950-2018,9,2011-01-13 23:59:59.999989,1285.78,1286.7,1280.47,1283.76,4310840000.0,0.0,RegimeSwitchingStrategy,9,734150.9999999999,MACD,9,,,CrossOver,9,,CrossDown,9,,ATR,9,,SMA,9,,SimpleMovingAverage,9,,StdDev,9,,Broker,9,100000.0,100000.0,BuySell,9,,,Trades,9,,
10,spx-1950-2018,10,2011-01-14 23:59:59.999989,1282.9,1293.24,1281.24,1293.24,4661590000.0,0.0,RegimeSwitchingStrategy,10,734151.9999999999,MACD,10,,,CrossOver,10,,CrossDown,10,,ATR,10,,SMA,10,,SimpleMovingAverage,10,,StdDev,10,,Broker,10,100000.0,100000.0,BuySell,10,,,Trades,10,,
11,spx-1950-2018,11,2011-01-18 23:59:59.999989,1293.22,1296.06,1290.16,1295.02,5284990000.0,0.0,RegimeSwitchingStrategy,11,734155.9999999999,MACD,11,,,CrossOver,11,,CrossDown,11,,ATR,11,,SMA,11,,SimpleMovingAverage,11,,StdDev,11,,Broker,11,100000.0,100000.0,BuySell,11,,,Trades,11,,
12,spx-1950-2018,12,2011-01-19 23:59:59.999989,1294.52,1294.6,1278.92,1281.92,4743710000.0,0.0,RegimeSwitchingStrategy,12,734156.9999999999,MACD,12,,,CrossOver,12,,CrossDown,12,,ATR,12,,SMA,12,,SimpleMovingAverage,12,,StdDev,12,,Broker,12,100000.0,100000.0,BuySell,12,,,Trades,12,,
13,spx-1950-2018,13,2011-01-20 23:59:59.999989,1280.85,1283.35,1271.26,1280.26,4935320000.0,0.0,RegimeSwitchingStrategy,13,734157.9999999999,MACD,13,,,CrossOver,13,,CrossDown,13,,ATR,13,,SMA,13,,SimpleMovingAverage,13,,StdDev,13,,Broker,13,100000.0,100000.0,BuySell,13,,,Trades,13,,
14,spx-1950-2018,14,2011-01-21 23:59:59.999989,1283.63,1291.21,1282.07,1283.35,4935320000.0,0.0,RegimeSwitchingStrategy,14,734158.9999999999,MACD,14,,,CrossOver,14,,CrossDown,14,,ATR,14,,SMA,14,,SimpleMovingAverage,14,,StdDev,14,,Broker,14,100000.0,100000.0,BuySell,14,,,Trades,14,,
15,spx-1950-2018,15,2011-01-24 23:59:59.999989,1283.29,1291.93,1282.47,1290.84,3902470000.0,0.0,RegimeSwitchingStrategy,15,734161.9999999999,MACD,15,,,CrossOver,15,,CrossDown,15,,ATR,15,10.620714285714257,SMA,15,,SimpleMovingAverage,15,1280.1706666666666,StdDev,15,8.173853817039706,Broker,15,100000.0,100000.0,BuySell,15,,,Trades,15,,
16,spx-1950-2018,16,2011-01-25 23:59:59.999989,1288.17,1291.26,1281.07,1291.18,4595380000.0,0.0,RegimeSwitchingStrategy,16,734162.9999999999,MACD,16,,,CrossOver,16,,CrossDown,16,,ATR,16,10.589948979591814,SMA,16,,SimpleMovingAverage,16,1281.4579999999999,StdDev,16,8.285023596833952,Broker,16,100000.0,100000.0,BuySell,16,,,Trades,16,,
17,spx-1950-2018,17,2011-01-26 23:59:59.999989,1291.97,1299.74,1291.97,1296.63,4730980000.0,0.0,RegimeSwitchingStrategy,17,734163.9999999999,MACD,17,,,CrossOver,17,,CrossDown,17,,ATR,17,10.44495262390668,SMA,17,,SimpleMovingAverage,17,1283.22,StdDev,17,8.510783747696308,Broker,17,100000.0,100000.0,BuySell,17,,,Trades,17,,
18,spx-1950-2018,18,2011-01-27 23:59:59.999989,1297.51,1301.29,1294.41,1299.54,4309190000.0,0.0,RegimeSwitchingStrategy,18,734164.9999999999,MACD,18,,,CrossOver,18,,CrossDown,18,,ATR,18,10.19031315077048,SMA,18,,SimpleMovingAverage,18,1284.752,StdDev,18,9.213334684039898,Broker,18,100000.0,100000.0,BuySell,18,,,Trades,18,,
19,spx-1950-2018,19,2011-01-28 23:59:59.999989,1299.63,1302.67,1275.1,1276.34,5618630000.0,0.0,RegimeSwitchingStrategy,19,734165.9999999999,MACD,19,,,CrossOver,19,,CrossDown,19,,ATR,19,11.431719354286887,SMA,19,,SimpleMovingAverage,19,1284.9180000000001,StdDev,19,9.036141654480451,Broker,19,100000.0,100000.0,BuySell,19,,,Trades,19,,
20,spx-1950-2018,20,2011-01-31 23:59:59.999989,1276.5,1287.17,1276.5,1286.12,4167160000.0,0.0,RegimeSwitchingStrategy,20,734168.9999999999,MACD,20,,,CrossOver,20,,CrossDown,20,,ATR,20,11.388739400409264,SMA,20,,SimpleMovingAverage,20,1285.8926666666666,StdDev,20,8.29429640710965,Broker,20,100000.0,100000.0,BuySell,20,,,Trades,20,,
21,spx-1950-2018,21,2011-02-01 23:59:59.999989,1289.14,1308.86,1289.14,1307.59,5164500000.0,0.0,RegimeSwitchingStrategy,21,734169.9999999999,MACD,21,,,CrossOver,21,,CrossDown,21,,ATR,21,12.199543728951461,SMA,21,,SimpleMovingAverage,21,1288.4153333333334,StdDev,21,8.743230422569795,Broker,21,100000.0,100000.0,BuySell,21,,,Trades,21,,
