Id,spx-1950-2018,len,datetime,open,high,low,close,volume,openinterest,RegimeSwitchingStrategy_natural_rt,len,datetime,MACD,len,macd,signal,CrossOver,len,crossover,CrossDown,len,cross,ATR,len,atr,SMA,len,sma,SimpleMovingAverage,len,sma,StdDev,len,stddev,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
1,spx-1950-2018,1,2010-01-04 23:59:59.999989,1116.56,1133.87,1116.56,1132.99,3991400000.0,0.0,RegimeSwitchingStrategy_natural_rt,1,733776.9999999999,MACD,1,,,CrossOver,1,,CrossDown,1,,ATR,1,,SMA,1,,SimpleMovingAverage,1,,StdDev,1,,Broker,1,100000.0,100000.0,BuySell,1,,,Trades,1,,
2,spx-1950-2018,2,2010-01-05 23:59:59.999989,1132.66,1136.63,1129.66,1136.52,2491020000.0,0.0,RegimeSwitchingStrategy_natural_rt,2,733777.9999999999,MACD,2,,,CrossOver,2,,CrossDown,2,,ATR,2,,SMA,2,,SimpleMovingAverage,2,,StdDev,2,,Broker,2,100000.0,100000.0,BuySell,2,,,Trades,2,,
3,spx-1950-2018,3,2010-01-06 23:59:59.999989,1135.71,1139.19,1133.95,1137.14,4972660000.0,0.0,RegimeSwitchingStrategy_natural_rt,3,733778.9999999999,MACD,3,,,CrossOver,3,,CrossDown,3,,ATR,3,,SMA,3,,SimpleMovingAverage,3,,StdDev,3,,Broker,3,100000.0,100000.0,BuySell,3,,,Trades,3,,
4,spx-1950-2018,4,2010-01-07 23:59:59.999989,1136.27,1142.46,1131.32,1141.69,5270680000.0,0.0,RegimeSwitchingStrategy_natural_rt,4,733779.9999999999,MACD,4,,,CrossOver,4,,CrossDown,4,,ATR,4,,SMA,4,,SimpleMovingAverage,4,,StdDev,4,,Broker,4,100000.0,100000.0,BuySell,4,,,Trades,4,,
5,spx-1950-2018,5,2010-01-08 23:59:59.999989,1140.52,1145.39,1136.22,1144.98,4389590000.0,0.0,RegimeSwitchingStrategy_natural_rt,5,733780.9999999999,MACD,5,,,CrossOver,5,,CrossDown,5,,ATR,5,,SMA,5,,SimpleMovingAverage,5,,StdDev,5,,Broker,5,100000.0,100000.0,BuySell,5,,,Trades,5,,
6,spx-1950-2018,6,2010-01-11 23:59:59.999989,1145.96,1149.74,1142.02,1146.98,4255780000.0,0.0,RegimeSwitchingStrategy_natural_rt,6,733783.9999999999,MACD,6,,,CrossOver,6,,CrossDown,6,,ATR,6,,SMA,6,,SimpleMovingAverage,6,,StdDev,6,,Broker,6,100000.0,100000.0,BuySell,6,,,Trades,6,,
7,spx-1950-2018,7,2010-01-12 23:59:59.999989,1143.81,1143.81,1131.77,1136.22,4716160000.0,0.0,RegimeSwitchingStrategy_natural_rt,7,733784.9999999999,MACD,7,,,CrossOver,7,,CrossDown,7,,ATR,7,,SMA,7,,SimpleMovingAverage,7,,StdDev,7,,Broker,7,100000.0,100000.0,BuySell,7,,,Trades,7,,
8,spx-1950-2018,8,2010-01-13 23:59:59.999989,1137.31,1148.4,1133.18,1145.68,4170360000.0,0.0,RegimeSwitchingStrategy_natural_rt,8,733785.9999999999,MACD,8,,,CrossOver,8,,CrossDown,8,,ATR,8,,SMA,8,,SimpleMovingAverage,8,,StdDev,8,,Broker,8,100000.0,100000.0,BuySell,8,,,Trades,8,,
9,spx-1950-2018,9,2010-01-14 23:59:59.999989,1145.68,1150.41,1143.8,1148.46,3915200000.0,0.0,RegimeSwitchingStrategy_natural_rt,9,733786.9999999999,MACD,9,,,CrossOver,9,,CrossDown,9,,ATR,9,,SMA,9,,SimpleMovingAverage,9,,StdDev,9,,Broker,9,100000.0,100000.0,BuySell,9,,,Trades,9,,
10,spx-1950-2018,10,2010-01-15 23:59:59.999989,1147.72,1147.77,1131.39,1136.03,4758730000.0,0.0,RegimeSwitchingStrategy_natural_rt,10,733787.9999999999,MACD,10,,,CrossOver,10,,CrossDown,10,,ATR,10,,SMA,10,,SimpleMovingAverage,10,,StdDev,10,,Broker,10,100000.0,100000.0,BuySell,10,,,Trades,10,,
