,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,datetime,cumulative_pnl
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-02-11,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-02-12,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-02-13,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-02-14,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-02-15,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-02-19,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-02-20,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-02-21,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-02-22,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-02-25,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-02-26,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-02-27,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-02-28,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-03-01,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-03-04,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-03-05,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-03-06,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-03-07,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-03-08,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-03-11,0.0
